,movie,year,imdb,votes
157,Icebox,2018,5.3,228
158,How It Ends,2018,5.0,30401
159,The Wild Pear Tree,2018,8.4,7001
160,Slender Man,2018,3.2,14286
161,A Wrinkle in Time,2018,4.2,30057
162,Billionaire Boys Club,2018,5.6,6039
163,The Appearance,2018,4.7,317
164,The Vanishing,2018,7.9,72
165,The Commuter,2018,6.3,70930
166,All the Devil's Men,2018,5.4,141
167,Nothing to Hide,2018,6.8,3530
168,Unfriended: Dark Web,2018,5.8,9154
169,No Sleep 'Til Christmas,2018,7.2,262
170,Hospitality,2018,4.3,104
171,Wildlife,2018,7.3,2995
172,Speed Kills,2018,3.9,720
173,The Night Comes for Us,2018,7.1,9687
174,Tully,2018,7.0,30730
175,22 July,2018,6.8,14578
176,London Fields,2018,4.5,694
177,Blockers,2018,6.2,45756
178,The 15:17 to Paris,2018,5.2,18411
179,Elizabeth Harvest,2018,5.7,1896
180,Life of the Party,2018,5.5,18751
181,Support the Girls,2018,6.2,2047
182,Mid90s,2018,7.6,4448
183,I Still See You,2018,5.7,2669
184,A Snow White Christmas,2018,5.3,127
185,The Last Man,2018,4.8,123
186,Kursk,2018,6.8,925
187,Winchester,2018,5.4,20600
188,Dark Was the Night,2018,6.1,98
189,Escape Plan 2: Hades,2018,3.8,16146
190,The Miseducation of Cameron Post,2018,6.7,7087
191,Adrift,2018,6.6,26967
192,The Guernsey Literary and Potato Peel Pie Society,2018,7.4,16679
193,Odiyan,2018,6.3,2031
194,Unsane,2018,6.4,26000
195,Border,2018,7.3,2736
196,Extinction,2018,5.8,31734
197,"Juliet, Naked",2018,6.6,6673
198,Gotti,2018,4.9,7401
199,Uncle Drew,2018,5.7,6945
200,Destination Wedding,2018,6.0,9973
201,You Might Be the Killer,2018,6.2,828
202,Truth or Dare,2018,5.1,27189
203,Overboard,2018,5.9,19671
204,Terminal,2018,5.3,11983
205,Arctic,2018,7.3,331
206,In Darkness,2018,5.7,7888
207,"Don't Worry, He Won't Get Far on Foot",2018,6.9,9052
208,The Cloverfield Paradox,2018,5.6,75482
209,Buttons,2018,7.0,32
210,Clara's Ghost,2018,5.2,98
211,Final Score,2018,5.7,4395
212,May the Devil Take You,2018,6.2,1467
213,Rajma Chawal,2018,5.7,705
214,All Is True,2018,7.7,6
215,Happy as Lazzaro,2018,7.6,3094
216,The Kindergarten Teacher,2018,6.8,4696
217,Siberia,2018,4.3,6598
218,American Animals,2018,7.0,21730
219,Head Full of Honey,2018,3.1,193
220,The Little Stranger,2018,5.6,2832
221,Silencer,2018,3.9,470
222,Teen Titans Go! To the Movies,2018,6.8,9332
223,The World Is Yours,2018,6.6,1258
224,The Quake,2018,6.4,2052
225,The Titan,2018,4.8,21296
226,The Man Who Killed Don Quixote,2018,6.8,3347
227,Gringo,2018,6.1,18100
228,Dog Days,2018,5.9,1335
229,A Very Nutty Christmas,2018,6.5,285
230,Ride,2018,4.4,541
231,SuperFly,2018,5.1,3506
232,Private Life,2018,7.2,6032
233,Between Worlds,2018,5.5,2861
234,Book Club,2018,6.1,14073
235,Tyrel,2018,5.2,307
236,Anon,2018,6.1,24275
237,Malevolent,2018,4.8,5488
238,Bizim Için Sampiyon,2018,8.6,1118
239,Ashes in the Snow,2018,8.1,1193
240,Look Away,2018,6.2,3976
241,Sabrina,2018,4.4,619
242,Forever My Girl,2018,6.7,7595
243,Spinning Man,2018,5.6,5600
244,Dragged Across Concrete,2018,8.1,594
245,Little Italy,2018,5.7,3387
246,Sierra Burgess Is a Loser,2018,6.0,20564
