movie,year,imdb,votes
Interference,1928,7,75
The Scarlet Lady,1928,8.2,5
Looping the Loop,1928,7,11
The Constant Nymph,1928,8.5,49
The Three Passions,1928,6.1,38
That Certain Thing,1928,7.1,218
So This Is Love,1928,5.3,42
The Awakening,1928,6.3,31
Sin,1928,6.6,28
Dom na Trubnoy,1928,7.4,476
Submarine,1928,7.5,195
Rasputins Liebesabenteuer,1928,6.9,10
A Lady of Chance,1928,7,371
Feel My Pulse,1928,7,131
The Big Hop,1928,5.3,16
Peace on Earth,1928,8.6,8
The Sideshow,1928,7.1,44
Riley the Cop,1928,6,142
The Perfect Crime,1928,4.8,6
Drums of Love,1928,5.8,46
Show Folks,1928,5.8,17
Dreams of Youth,1928,6.2,31
Say It with Sables,1928,5,23
Fazil,1928,6.1,140
The Lady of the Lake,1928,5.2,22
Two Timid Souls,1928,6.9,135
Gang War,1928,8,6
Q-Ships,1928,7.1,10
Burning of the Red Lotus Monastery,1928,7.7,41
The Noose,1928,7.1,36
Oh Kay!,1928,7,15
Harold Teen,1928,8.6,7
Bare Knees,1928,7.6,45
The Tournament,1928,6.4,40
Marked Money,1928,5.8,8
Under the Lantern,1928,7.1,67
Skirts,1928,7.7,6
Eleven P.M.,1928,6.1,37
Half a Bride,1928,6.4,26
The Chaser,1928,6.1,74
Ladies' Night in a Turkish Bath,1928,7.2,23
"Home, James",1928,5.9,10
Walking Back,1928,6.9,36
Naughty Baby,1928,7.8,16
Kurama Tengu,1928,7.4,37
Forgotten Faces,1928,8.6,16
Little Devil May Care,1928,7.2,45
Luther,1928,7.4,16
Alice Through a Looking Glass,1928,7.4,12
Scarlet Seas,1928,8,5
Dawn,1928,6.9,16
Homecoming,1928,7.1,134
Sharp Shooters,1928,6.6,17
Doomsday,1928,6.8,59
Annapolis,1928,8.2,17
The Michigan Kid,1928,6.7,30
A Ship Comes In,1928,5.8,118
The Vanishing Pioneer,1928,7.8,8
The Mysterious Airman,1928,6.8,14
Ned McCobb's Daughter,1928,5.8,8
The Law of the Range,1928,1.9,81
Tenderloin,1928,5.4,17
Misdeal,1928,7,161
Land of the Silver Fox,1928,6.6,11
Bringing Up Father,1928,7.4,123
The Vortex,1928,6.6,25
Four Walls,1928,7,276
The Secret Courier,1928,7.2,6
Thou Shalt Not,1928,6.3,9
"Carry on, Sergeant!",1928,6.2,30
The Smart Set,1928,8,946
The Road to Ruin,1928,7.3,31
Stand and Deliver,1928,6.4,24
Court-Martial,1928,6.1,12
Yellow Lily,1928,7.9,14
Penal Servitude,1928,6.5,15
Secrets of the Orient,1928,7.5,13
Volga Volga,1928,6.4,9
Wife Lost,1928,6.5,19
Parizhskiy sapozhnik,1928,6.3,32
The Way of the Strong,1928,7,46
The Pace That Kills,1928,6.9,14
The Circus Kid,1928,8,18
Ungarische Rhapsodie,1928,6.8,28
Princesse Mandane,1928,7.2,11
The Adorable Cheat,1928,7.2,24
Loves of a Moghul Prince,1928,7.2,5
The Desert Bride,1928,5,6
Pandora's Box,1929,8,8612
The Bishop Murder Case,1929,6.1,498
The Broadway Melody,1929,6.2,5547
The Cocoanuts,1929,7.2,6294
The Great Gabbo,1929,6.3,606
Diary of a Lost Girl,1929,8,3535
Piccadilly,1929,7.3,1159
The Canary Murder Case,1929,6.2,443
Blackmail,1929,7,8379
The Virginian,1929,6.9,551
Hallelujah,1929,6.9,1392
Fragment of an Empire,1929,7.4,218
The Wild Party,1929,6.4,359
Woman in the Moon,1929,7.4,2432
Der Hund von Baskerville,1929,5.9,31
The Love Parade,1929,7.2,1726
The Kiss,1929,7,830
The Informer,1929,7,142
The Mysterious Island,1929,6.1,508
The Taming of the Shrew,1929,7.1,441
The Locked Door,1929,6.1,394
Hell's Heroes,1929,7.1,438
Glorifying the American Girl,1929,6.9,559
The Hollywood Revue of 1929,1929,7.4,1639
Eternal Love,1929,7.1,398
Show of Shows,1929,6.2,316
The Four Feathers,1929,7.2,240
The Greene Murder Case,1929,6.7,228
Show Boat,1929,6.4,204
White Hell of Pitz Palu,1929,7.3,783
The Manxman,1929,6.3,2251
Arsenal,1929,7.4,1484
Gold Diggers of Broadway,1929,7,130
Coquette,1929,7.1,1842
Disraeli,1929,6.4,880
The Black Watch,1929,6.1,231
On with the Show!,1929,6.2,181
Seven Footprints to Satan,1929,6.8,238
Bulldog Drummond,1929,6.5,751
The Trespasser,1929,7.8,1156
Queen Kelly,1929,7.8,2922
The Single Standard,1929,6.9,414
Our Modern Maidens,1929,5.7,536
Old and New,1929,7.3,1077
Escape from Dartmoor,1929,7.7,886
Asphalt,1929,7.6,1173
The Saturday Night Kid,1929,6.3,160
The Divine Lady,1929,6.3,567
Rio Rita,1929,7.7,579
Speedway,1929,7.6,590
Atlantic,1929,5.5,142
Words and Music,1929,5.2,49
The Pagan,1929,7.1,269
Dynamite,1929,7.1,345
Mexicali Rose,1929,5.9,133
Spite Marriage,1929,7.1,1594
The Desert Song,1929,7,62
Why Be Good?,1929,7.4,268
The Last of Mrs. Cheyney,1929,6,299
The Wolf of Wall Street,1929,6.5,27
Thunderbolt,1929,6.7,445
The Iron Mask,1929,7.5,1036
Salute,1929,5.3,142
Flight,1929,6,217
The Mysterious Dr. Fu Manchu,1929,7,164
Madame X,1929,5.9,336
The Letter,1929,6.8,505
The Thirteenth Chair,1929,5.8,373
Broadway,1929,7,307
Sunnyside Up,1929,6.7,333
Lucky Star,1929,7.9,998
The Bridge of San Luis Rey,1929,6.9,39
Dangerous Curves,1929,6.3,96
The Hole in the Wall,1929,6,104
Linda,1929,7,64
Alibi,1929,6,551
High Treason,1929,6.3,94
The Wolf Song,1929,6.9,42
Condemned!,1929,6.4,300
The Squall,1929,4.7,284
The Godless Girl,1929,7.4,598
Wild Orchids,1929,6.8,502
Tarzan the Tiger,1929,6.1,84
Where East Is East,1929,6.8,430
Welcome Danger,1929,6.2,633
A Throw of Dice,1929,6.6,579
Applause,1929,7.3,1174
The Racketeer,1929,5.5,317
Girls Gone Wild,1929,7.6,36
Their Own Desire,1929,5.9,429
The Sophomore,1929,5.5,17
Betrayal,1929,5.7,18
Seduction,1929,7.4,433
The Ship of Lost Men,1929,6.4,83
The Unholy Night,1929,5.9,175
Paris Bound,1929,6.7,74
The Valiant,1929,6.3,198
Strange Cargo,1929,8.6,21
Wonder of Women,1929,6.7,13
The Dance of Life,1929,7.5,232
The Last Performance,1929,6.8,265
Chinatown Nights,1929,6.5,55
Street Girl,1929,7.2,300
Untamed,1929,4.7,397
Tanned Legs,1929,5.7,117
Den starkaste,1929,7.5,28
Desert Nights,1929,8,1058
Sally,1929,6.3,247
So This Is College,1929,5.7,141
The New Babylon,1929,7.6,600
Three Loves,1929,6.8,181
New York Nights,1929,6.3,122
I Kiss Your Hand Madame,1929,6.4,97
The Lady Lies,1929,6.7,57
Days of Youth,1929,6.5,419
Redskin,1929,7,142
Weary River,1929,6.6,317
The Studio Murder Mystery,1929,5.9,91
Behind That Curtain,1929,4.9,338
Monte Cristo,1929,6.9,101
Waterloo,1929,7,21
Miss Else,1929,7.2,113
My Grandmother,1929,7.5,204
Illusion,1929,7.9,17
His Glorious Night,1929,8.8,41
High Voltage,1929,5.3,243
Pointed Heels,1929,6.7,81
The Flying Scotsman,1929,6.4,95
The Cock-Eyed World,1929,5.8,45
Tôkyô kôshinkyoku,1929,6.7,231
The Trial of Mary Dugan,1929,7.3,88
The Duke Steps Out,1929,2.2,82
The Wonderful Lies of Nina Petrovna,1929,7.3,192
Happy Days,1929,6.9,113
The Way of Lost Souls,1929,7.5,53
The Dummy,1929,7.3,6
The Love Trap,1929,6.6,159
The Lost Zeppelin,1929,5.6,85
The Flying Fleet,1929,6.6,230
The Younger Generation,1929,6.5,203
Tide of Empire,1929,6.3,159
Big News,1929,5.6,153
Lady of the Pavements,1929,7.3,62
Sweetie,1929,7.1,46
Thru Different Eyes,1929,6.9,14
Gentlemen of the Press,1929,7.2,44
Thunder,1929,6.7,11
The Phantom in the House,1929,5.4,74
Trent's Last Case,1929,6.9,43
Woman Trap,1929,6.2,25
Half Marriage,1929,5.8,99
Charming Sinners,1929,6.3,48
Broadway Babies,1929,6.7,109
The Marriage Playground,1929,6.4,50
Dark Streets,1929,5.3,14
Strong Boy,1929,4.4,30
Fox Movietone Follies of 1929,1929,6.8,6
A Dangerous Woman,1929,5.6,21
Drag,1929,6.5,26
The King of the Kongo,1929,5.6,29
The Man I Love,1929,5.8,37
"I Graduated, But...",1929,6.4,317
The Forward Pass,1929,5.1,31
The Shakedown,1929,6.5,97
Finis terrae,1929,7.3,377
The Temporary Gentleman,1929,6.8,129
Darkened Rooms,1929,6.8,22
Syncopation,1929,7.8,40
Devil-May-Care,1929,6.7,99
They Had to See Paris,1929,6.1,128
The Donovan Affair,1929,6.6,44
Innocents of Paris,1929,7.5,21
Half Way to Heaven,1929,7.3,27
Why Bring That Up?,1929,5.9,9
The Leatherneck,1929,6.5,38
Frühlingserwachen,1929,7.5,13
Glad Rag Doll,1929,4.6,13
The Voice of the City,1929,5.8,56
Speakeasy,1929,5.2,32
Woman to Woman,1929,6.7,73
Her Private Affair,1929,5.2,101
Hearts in Dixie,1929,6.2,12
The Case of Lena Smith,1929,6.5,19
Laila,1929,7.3,191
Evangeline,1929,7,121
The Rescue,1929,7,16
The Ace of Scotland Yard,1929,4.7,10
The Woman and the Puppet,1929,7.1,55
Smiling Irish Eyes,1929,3.1,15
Smoke Bellew,1929,7,10
Marianne,1929,8.1,1047
Seven Keys to Baldpate,1929,6.1,180
Big Time,1929,8.1,12
The Silent House,1929,8,16
Le bled,1929,6.5,61
The Lighthouse Keepers,1929,7.6,100
The Great Divide,1929,5.4,107
The Man and the Moment,1929,7.5,15
The Sixth Sense,1929,7,71
The Mighty,1929,7,21
The Far Call,1929,7,6
Astero,1929,7.2,24
The River of Romance,1929,5.1,19
Hell of a Reporter,1929,6.7,27
Call of the Rockies,1929,7.5,19
Prisoners,1929,6.4,7
The Living Corpse,1929,7,104
This Thing Called Love,1929,8.5,6
The Fatal Warning,1929,2.6,11
Mother Krause's Journey to Happiness,1929,7.5,202
Synthetic Sin,1929,7.5,30
The Storming of La Sarraz,1929,6.6,31
It's a Great Life,1929,7.4,179
Navy Blues,1929,7.7,522
Honky Tonk,1929,6.3,6
Seven Faces,1929,7.7,23
Gore i radost zhenshchiny,1929,7,26
So Long Letty,1929,6.5,99
Nothing But the Truth,1929,6.6,46
Tiger Rose,1929,7.3,7
The Talk of Hollywood,1929,5.6,51
The Idle Rich,1929,6.2,74
Christina,1929,5.7,6
Vénus,1929,7.2,8
A Single Man,1929,8.1,24
Dance Hall,1929,5.2,78
The Awful Truth,1929,7.1,8
All Quiet on the Western Front,1930,8.1,52502
The Blue Angel,1930,7.8,12075
Hell's Angels,1930,7.7,4354
The Big Trail,1930,7.2,2945
L'Age d'Or,1930,7.4,11170
Little Rascals: Best of Our Gang,1930,7.9,80
Animal Crackers,1930,7.6,12014
King of Jazz,1930,7.3,719
Madam Satan,1930,6.6,695
The Divorcee,1930,6.8,2355
Morocco,1930,7.2,4702
Murder!,1930,6.4,4912
People on Sunday,1930,7.5,2351
City Girl,1930,7.9,2468
Westfront 1918,1930,7.5,1257
Holiday,1930,6.8,242
Miss Europe,1930,7,468
The Unholy Three,1930,6.8,921
Up the River,1930,6.1,898
The Benson Murder Case,1930,6.3,211
Ladies of Leisure,1930,6.8,844
Anna Christie,1930,6.9,2412
The Big House,1930,7.1,1523
Just Imagine,1930,5.5,557
The Bat Whispers,1930,6.5,728
Journey's End,1930,7,182
Juno and the Paycock,1930,4.9,1823
Earth,1930,7.4,4139
Under the Roofs of Paris,1930,7.3,1769
The Dawn Patrol,1930,7.8,1428
Abraham Lincoln,1930,5.8,1173
Paid,1930,5.8,472
Queen High,1930,6.6,59
Whoopee!,1930,7.6,886
Paramount on Parade,1930,6.1,222
Renegades,1930,5.1,209
The Doorway to Hell,1930,6.6,760
Sin Takes a Holiday,1930,6.2,365
Tom Sawyer,1930,6.4,140
Feet First,1930,6.8,864
Min and Bill,1930,7.3,1378
Let Us Be Gay,1930,6.5,398
Way Out West,1930,7.9,646
Romance,1930,6,572
Die Drei von der Tankstelle,1930,6.8,678
Moby Dick,1930,5.6,320
Liliom,1930,6.7,360
Show Girl in Hollywood,1930,7,179
Not So Dumb,1930,7.6,850
Redemption,1930,7.5,456
Monte Carlo,1930,7,1006
The Sea Bat,1930,5.5,164
Good News,1930,7.6,315
Doughboys,1930,5.9,331
Sinners' Holiday,1930,6.4,377
Passion Flower,1930,6.8,223
Safety in Numbers,1930,6.6,88
A Devil with Women,1930,7,54
Check and Double Check,1930,5.7,319
The Naughty Flirt,1930,5.8,337
Free and Easy,1930,5.6,767
Reaching for the Moon,1930,5.9,306
Born Reckless,1930,5.4,292
School for Scandal,1930,5.2,16
The Rogue Song,1930,6.2,90
Soup to Nuts,1930,6,311
Young Man of Manhattan,1930,6.4,104
Party Girl,1930,5.8,166
The Florodora Girl,1930,7.7,1097
Seven Days Leave,1930,7,69
The Vagabond King,1930,6.1,89
Loose Ankles,1930,6.1,289
Danger Lights,1930,6.2,441
Elstree Calling,1930,5.7,296
Men Without Women,1930,5.9,196
The Virtuous Sin,1930,6,73
The Devil to Pay!,1930,6.7,455
Street of Chance,1930,6.9,159
The Royal Family of Broadway,1930,6.5,255
Dangerous Paradise,1930,5.6,50
Sarah and Son,1930,5.8,163
The Silver Horde,1930,6.1,368
Anna Christie,1930,7.2,681
The Texan,1930,6.9,48
East Is West,1930,6.7,24
Laughter,1930,6.7,242
Raffles,1930,6.8,672
The Cat Creeps,1930,6.8,49
Outward Bound,1930,6.7,418
Let's Go Native,1930,6.9,108
Estrellados,1930,7,25
Dixiana,1930,5.5,258
The Devil's Holiday,1930,6.2,112
What Men Want,1930,7.3,17
Common Clay,1930,6.8,31
Montana Moon,1930,4.1,325
Our Blushing Brides,1930,5.7,513
Sweethearts on Parade,1930,8.2,24
Remote Control,1930,7.2,541
Billy the Kid,1930,6.2,320
Follow the Leader,1930,6,46
The Girl Said No,1930,7.7,759
Bright Lights,1930,6.5,204
Rain or Shine,1930,5.9,295
A Lady to Love,1930,6.7,119
Song o' My Heart,1930,5.5,125
The Spoilers,1930,7,56
Hello Sister,1930,6.8,10
Mammy,1930,6.3,134
Follow Thru,1930,7.1,185
Young Eagles,1930,6.4,18
The Office Wife,1930,6.3,291
The Night Ride,1930,6.8,15
El presidio,1930,6.1,15
A Notorious Affair,1930,5.4,197
Extravagance,1930,6,83
Outside the Law,1930,6.4,83
Her Man,1930,6.7,189
Playing Around,1930,6.5,171
The White Devil,1930,7.2,58
Walk Cheerfully,1930,6.5,408
Roadhouse Nights,1930,6.6,58
Borderline,1930,6.3,363
Her Wedding Night,1930,7.7,30
The Widow from Chicago,1930,6.7,296
Children of Pleasure,1930,6.3,109
True to the Navy,1930,7,87
A Lady's Morals,1930,5.4,67
That Night's Wife,1930,7,556
The Honeymoon,1930,8.6,22
Canyon Hawks,1930,5.5,11
The Return of Dr. Fu Manchu,1930,6.9,141
The Sea God,1930,6.5,42
New Moon,1930,6.2,95
The Silent Enemy,1930,7.1,160
Night Work,1930,6.1,48
Tol'able David,1930,7.2,21
Lord Byron of Broadway,1930,5.6,112
Paradise Island,1930,5.1,54
Little Lise,1930,7.2,129
Alraune,1930,6,56
Grumpy,1930,4.5,34
"Du Barry, Woman of Passion",1930,5.8,32
Au bonheur des dames,1930,7.3,352
Hell Harbor,1930,5.5,124
Rogue of the Rio Grande,1930,4.7,63
The Fall Guy,1930,5.7,92
"I Flunked, But...",1930,6.5,320
Fast and Loose,1930,6.6,87
The Green Goddess,1930,5.4,279
Bride of the Regiment,1930,5.7,13
Half Shot at Sunrise,1930,6.3,247
The Second Floor Mystery,1930,6.6,29
Behind the Make-Up,1930,6,86
Man to Man,1930,6.9,79
The Big Pond,1930,6,186
The Truth About Youth,1930,5.7,217
"No, No, Nanette",1930,6,15
The Santa Fe Trail,1930,5.5,10
Chasing Rainbows,1930,6.4,190
Sunny,1930,5.5,111
Anybody's Woman,1930,6.9,73
War Nurse,1930,6.2,197
Love in the Rough,1930,5.7,127
Inside the Lines,1930,5.4,70
One Romantic Night,1930,6.5,356
In Gay Madrid,1930,5.2,57
Ladies Love Brutes,1930,6.3,64
Numbered Men,1930,5,67
Hold Everything,1930,6.6,14
Puttin' on the Ritz,1930,6.2,101
Hook Line and Sinker,1930,6.3,238
Manslaughter,1930,7.5,176
One Night at Susie's,1930,6.2,104
Conspiracy,1930,5.7,83
For the Defense,1930,6.5,295
The Woman Racket,1930,6.4,67
Heads Up,1930,5.8,32
Rough Romance,1930,5.7,56
The Right to Love,1930,5.1,14
Going Wild,1930,6.1,131
Shooting Straight,1930,6,55
Ingagi,1930,5.3,40
Wide Open,1930,5.9,82
Little Accident,1930,6.9,11
Lilies of the Field,1930,5.4,11
The Storm,1930,5,48
New Movietone Follies of 1930,1930,7.5,11
Such Men Are Dangerous,1930,6.1,42
The Flirting Widow,1930,6.8,134
Those Three French Girls,1930,5.1,70
The Ship from Shanghai,1930,5.4,94
The Sap from Syracuse,1930,6.5,38
Only the Brave,1930,6.6,51
The Pay-Off,1930,5.7,188
Three Faces East,1930,5.8,120
The Temporary Widow,1930,7.1,22
Part Time Wife,1930,6.5,25
The Mystery of the Yellow Room,1930,6.7,80
Shadow of the Law,1930,6.6,54
Road to Paradise,1930,5.8,120
Honey,1930,6.2,40
Cock o' the Walk,1930,6.8,9
Noche de duendes,1930,6.2,134
Mothers Cry,1930,5.7,39
Die Sehnsucht jeder Frau,1930,7.3,6
The Sea Wolf,1930,7.8,12
Framed,1930,6.1,123
The Love Trader,1930,7,8
Hellbound Train,1930,5.4,85
Recaptured Love,1930,6.2,9
The Kibitzer,1930,6.2,16
Maybe It's Love,1930,5.2,189
Playboy of Paris,1930,6.7,49
She Couldn't Say No,1930,4.5,8
High Society Blues,1930,8.5,11
The Sins of the Children,1930,6.2,141
Borrowed Wives,1930,5.6,74
Midnight Mystery,1930,7.5,33
Lightnin',1930,7.8,16
The Dreyfus Case,1930,6.4,40
Golden Dawn,1930,4.9,113
Dangerous Nan McGrew,1930,5,34
Runaway Bride,1930,5,178
The Jade Box,1930,4.5,11
Dans la nuit,1930,6.9,134
Great Day,1930,2.4,81
Surprise of a Knight,1930,8,13
Back Pay,1930,5.3,104
The Perfect Alibi,1930,5.4,42
The Man from Blankley's,1930,8.7,29
Wild Company,1930,5.4,32
Isle of Escape,1930,7.8,9
The Medicine Man,1930,5,177
The Lottery Bride,1930,5.4,133
Captain Thunder,1930,4.8,110
The Life of the Party,1930,5.6,122
Storm Over Mont Blanc,1930,6.3,180
Charley's Aunt,1930,6.2,109
The W Plan,1930,5.4,20
Girl of the Port,1930,5.7,46
The Lone Rider,1930,6.5,22
Kismet,1930,6.1,22
M,1931,8.3,123446
City Lights,1931,8.5,140955
Frankenstein,1931,7.9,57118
Dracula,1931,7.6,40038
Private Lives,1931,6.9,923
Safe in Hell,1931,7.1,970
Dr. Jekyll and Mr. Hyde,1931,7.7,11103
Pardon Us,1931,7,1787
The Public Enemy,1931,7.7,15592
Little Caesar,1931,7.3,10418
Trader Horn,1931,6.4,797
Cimarron,1931,6,4607
The Maltese Falcon,1931,7.3,2491
Monkey Business,1931,7.6,10237
The Front Page,1931,6.8,1964
Mata Hari,1931,6.7,2938
Blonde Crazy,1931,7.2,1308
Mädchen in Uniform,1931,7.7,2030
Drácula,1931,7.2,3562
An American Tragedy,1931,6.6,496
Svengali,1931,6.9,1516
Platinum Blonde,1931,6.9,2519
The Champ,1931,7.3,2339
A Free Soul,1931,6.7,1920
Tabu: A Story of the South Seas,1931,7.6,4266
The Skin Game,1931,5.9,2507
Waterloo Bridge,1931,7.6,2188
The Bad Sister,1931,6.8,783
Street Scene,1931,7.7,1258
Possessed,1931,6.8,1427
East of Shanghai,1931,5.9,3569
Arrowsmith,1931,6.2,1312
Alexander Hamilton,1931,6,209
The Miracle Woman,1931,7.2,1591
The 3 Penny Opera,1931,7.5,1735
La Chienne,1931,7.7,3028
Iron Man,1931,6.1,171
Susan Lenox (Her Fall and Rise),1931,6.5,920
Bad Girl,1931,6.6,889
The Smiling Lieutenant,1931,7.7,2943
Girls Demand Excitement,1931,5.8,57
The Black Camel,1931,7.1,1158
Five and Ten,1931,7.8,1141
Emil und die Detektive,1931,7.1,485
Night Nurse,1931,7,2779
Transatlantic,1931,6.7,126
Smart Money,1931,6.9,1435
The Secret 6,1931,6.4,637
Honor Among Lovers,1931,6.7,133
À Nous la Liberté,1931,7.6,3602
God's Gift to Women,1931,5.1,250
Arizona,1931,6,203
Alam Ara,1931,7.4,98
Mary,1931,6.2,538
Girls About Town,1931,7.8,460
City Streets,1931,7.2,1086
Le Million,1931,7.5,2866
Murder at Midnight,1931,5.5,280
Daughter of the Dragon,1931,6.2,340
Skippy,1931,6.3,559
Dishonored,1931,7.3,1631
Illicit,1931,6.2,726
Limite,1931,7.4,1453
Prestige,1931,5.7,229
Alice in Wonderland,1931,5.8,96
Ten Cents a Dance,1931,6.6,555
"Dance, Fools, Dance",1931,5.9,673
Other Men's Women,1931,6.6,951
Marius,1931,7.9,1711
Fighting Caravans,1931,5.8,465
The Millionaire,1931,7.2,354
East Lynne,1931,6.9,86
Indiscreet,1931,7.7,1248
Comradeship,1931,7.6,1046
The Criminal Code,1931,7.1,724
Daddy Long Legs,1931,6.7,63
The Painted Desert,1931,5.3,498
The Sin of Madelon Claudet,1931,6.7,669
Just a Gigolo,1931,7.8,824
Tarnished Lady,1931,6.6,105
Inspiration,1931,6.4,416
The Mad Genius,1931,6.5,470
Hell Divers,1931,6.4,413
I Take This Woman,1931,6.3,107
Seas Beneath,1931,5.8,243
Charlie Chan Carries On,1931,7.6,453
The Spirit of Notre Dame,1931,5.1,26
Five Star Final,1931,7.3,1456
Three Girls Lost,1931,5.5,47
The Easiest Way,1931,6.3,363
Millie,1931,6.3,399
The Yellow Ticket,1931,6.5,127
The Last Flight,1931,7.8,1189
The Finger Points,1931,6.1,306
The Brat,1931,6.2,79
The Struggle,1931,6.3,256
Man of the World,1931,6.2,478
Dirigible,1931,6.4,514
The Range Feud,1931,5.8,250
Huckleberry Finn,1931,6.3,61
Seed,1931,7.9,324
Behind Office Doors,1931,6.3,285
Congress Dances,1931,7.2,413
Maker of Men,1931,5.2,66
Kept Husbands,1931,6,362
My Past,1931,5.8,114
Laughing Sinners,1931,5,475
Annabelle's Affairs,1931,6.7,7
The Ghost Train,1931,6.6,36
Gun Smoke,1931,6.5,23
A Connecticut Yankee,1931,6.7,259
Devotion,1931,6.3,158
"Parlor, Bedroom and Bath",1931,6.1,639
Cracked Nuts,1931,6.3,201
Body and Soul,1931,6.9,58
Daphnis and Chloe,1931,6.6,70
Wicked,1931,6.2,13
Way Back Home,1931,6.7,542
Under Eighteen,1931,6.7,323
"Hyppolit, the Butler",1931,7.8,1203
Lonely Wives,1931,6.4,272
Tokyo Chorus,1931,7.4,1079
The Cisco Kid,1931,7.1,37
No Limit,1931,5.9,61
The Tip-Off,1931,5.8,182
The Star Witness,1931,6.3,487
Up Pops the Devil,1931,6.2,45
The Road to Singapore,1931,6.5,216
Berlin-Alexanderplatz - Die Geschichte Franz Biberkopfs,1931,6.8,513
The Bachelor Father,1931,7.7,902
Sporting Blood,1931,6.1,271
24 Hours,1931,6.9,245
Guilty Hands,1931,7.2,539
Palmy Days,1931,7.9,440
The Squaw Man,1931,6.5,295
The Guardsman,1931,6.6,361
Friends and Lovers,1931,5.5,291
Ladies' Man,1931,6.1,105
Scandal Sheet,1931,7.8,50
Tonight or Never,1931,7.7,1278
Kiki,1931,7.4,285
My Sin,1931,6.7,120
Skyline,1931,6.4,15
Big Business Girl,1931,5.9,190
Strictly Dishonorable,1931,6.1,113
Confessions of a Co-Ed,1931,6.3,39
Women of All Nations,1931,5.9,80
Shipmates,1931,5.8,83
Goldie,1931,5.6,70
A Holy Terror,1931,5.8,158
It Pays to Advertise,1931,5.6,75
West of Broadway,1931,7.4,540
Corsair,1931,5.9,137
Sidewalks of New York,1931,5.6,330
Heaven on Earth,1931,5.2,12
Quick Millions,1931,6.6,120
Expensive Women,1931,5.6,116
The Phantom,1931,4.4,241
Are These Our Children,1931,6.2,150
The Cheat,1931,6.5,403
His Woman,1931,6.1,89
Men Call It Love,1931,5.7,108
The Lady Refuses,1931,6,184
The Man in Possession,1931,7.1,247
Grief Street,1931,5.8,65
Politiquerías,1931,6.8,144
A House Divided,1931,7,140
Ten Nights in a Bar-Room,1931,5.4,79
Born to Love,1931,5.8,168
Bachelor Apartment,1931,6.3,320
The Speckled Band,1931,5.3,189
The Cuban Love Song,1931,6,117
The Exile,1931,5.4,55
50 Million Frenchmen,1931,5.5,101
Stepping Out,1931,6,47
Consolation Marriage,1931,6.1,341
Riders of the Purple Sage,1931,6.5,48
Révolte dans la prison,1931,6.7,17
The Phantom of Paris,1931,7.4,1201
It's a Wise Child,1931,8.6,39
Murder by the Clock,1931,6.5,204
The Common Law,1931,6.1,208
Up for Murder,1931,6.3,26
Party Husband,1931,6.9,50
X Marks the Spot,1931,6.1,29
The Conquering Horde,1931,6.6,25
End of the World,1931,6.2,190
Brokiga blad,1931,6.1,14
Sherlock Holmes' Fatal Hour,1931,5.9,265
Strangers May Kiss,1931,6.1,365
Nail in the Boot,1931,7.2,149
The Sin Ship,1931,5.5,192
Der Mörder Dimitri Karamasoff,1931,7.4,131
Daybreak,1931,6.3,108
Resurrection,1931,7.4,10
Transgression,1931,6.6,235
The Deceiver,1931,4.9,46
The Magnificent Lie,1931,6.9,35
Rebound,1931,6.2,108
The Night Angel,1931,6.4,29
Die andere Seite,1931,7.7,24
The Erl King,1931,6.5,15
The Unholy Garden,1931,6,205
New Adventures of Get-Rich-Quick Wallingford,1931,8,398
Delicious,1931,5.9,176
The Guilty Generation,1931,6.7,220
The Mad Parade,1931,7.7,26
Secrets of a Secretary,1931,6.8,67
Alibi,1931,7.4,10
The Drums of Jeopardy,1931,5.9,170
King of the Wild,1931,6.1,64
This Modern Age,1931,5.1,335
Hush Money,1931,6.9,13
The Lawyer's Secret,1931,7,22
Beau Ideal,1931,5.4,128
The Great Lover,1931,5.7,137
Road to Life,1931,7.1,307
The Right of Way,1931,4.7,78
The Great Love,1931,6.1,56
Suicide Fleet,1931,5.7,166
Son of India,1931,6.2,124
Hell on Earth,1931,6.8,88
The Mystery Train,1931,6.1,73
Flying High,1931,5.8,155
Fascination,1931,5.8,20
The Sea Ghost,1931,5.7,57
Three Who Loved,1931,6,106
The Secret Call,1931,6.2,13
Le bal,1931,6.8,26
Once a Sinner,1931,8.3,7
Jamai Shashthi,1931,7,9
The Devil Plays,1931,5.4,39
Le parfum de la dame en noir,1931,6.6,54
Smart Woman,1931,6.6,253
Ambassador Bill,1931,6.4,103
Night Life in Reno,1931,5,60
"Der Mann, der seinen Mörder sucht",1931,6.3,142
Chances,1931,6.6,137
6 Cylinder Love,1931,5.2,13
L'opéra de quat'sous,1931,6.9,147
Kick In,1931,7.3,41
Never the Twain Shall Meet,1931,5.8,143
The Viking,1931,6.1,114
The Hot Heiress,1931,6.2,129
Tout ça ne vaut pas l'amour,1931,6.6,35
Gentleman's Fate,1931,7.8,633
Sous les verrous,1931,7.1,45
The Most Dangerous Game,1932,7.2,8718
Freaks,1932,7.9,37412
Scarface,1932,7.8,22403
The Mummy,1932,7.2,20030
The Old Dark House,1932,7.2,7324
They Call It Sin,1932,6.4,478
Man Wanted,1932,6.7,435
Tarzan the Ape Man,1932,7.2,6319
White Zombie,1932,6.4,8038
Make Me a Star,1932,6.5,337
Island of Lost Souls,1932,7.5,7008
Grand Hotel,1932,7.5,15225
Shanghai Express,1932,7.4,6288
